id,latitude,longitude,city,region,elevation,ghi_daily,dni_daily,dhi_daily,pvout_daily,sunshine_hours,air_temperature,data_quality,measurement_period,solar_class
solar_point_1,51.5074,-0.1278,"London, UK",Europe,1422,4.7,3.26,2.68,3.4,9.4,19.2,Good,2020-2023,Low
solar_point_2,52.52,13.405,"Berlin, Germany",Europe,1110,5.15,3.76,2.86,3.68,9.3,19.9,Excellent,2020-2023,Medium
solar_point_3,40.7128,-74.006,"New York, USA",North America,9,4.6,3.12,2.23,3.26,9.4,27.1,Good,2020-2023,Low
solar_point_4,34.0522,-118.2437,"Los Angeles, USA",North America,228,5.97,4.35,2.37,4.94,10.3,27.8,Fair,2020-2023,Medium
solar_point_5,35.6762,139.6503,"Tokyo, Japan",Asia,1659,4.83,3.51,1.98,3.62,10.6,24.1,Good,2020-2023,Medium
solar_point_6,-33.8688,151.2093,"Sydney, Australia",Oceania,772,5.84,3.67,2.79,4.7,10.4,29.0,Fair,2020-2023,Medium
solar_point_7,25.2048,55.2708,"Dubai, UAE",Middle East,609,5.13,3.97,1.54,3.62,11.4,26.4,Excellent,2020-2023,Medium
solar_point_8,19.076,72.8777,"Mumbai, India",Asia,683,4.89,3.3,1.77,4.0,12.0,31.3,Excellent,2020-2023,Medium
solar_point_9,48.8566,2.3522,"Paris, France",Europe,489,5.16,3.79,2.67,4.1,9.8,24.2,Good,2020-2023,Medium
solar_point_10,37.7749,-122.4194,"San Francisco, USA",North America,1038,4.99,3.24,2.43,3.88,10.5,30.3,Good,2020-2023,Medium
solar_point_11,55.7558,37.6173,"Moscow, Russia",Europe,955,3.53,2.32,2.22,2.65,10.3,22.6,Excellent,2020-2023,Low
solar_point_12,-26.2041,28.0473,"Johannesburg, South Africa",Africa,530,4.86,3.73,1.51,3.97,11.6,26.9,Good,2020-2023,Medium
solar_point_13,1.3521,103.8198,Singapore,Asia,996,5.67,4.43,1.24,4.05,11.7,35.8,Excellent,2020-2023,Medium
solar_point_14,59.9139,10.7522,"Oslo, Norway",Europe,72,4.72,3.0,3.22,3.71,9.0,20.6,Excellent,2020-2023,Medium
solar_point_15,30.0444,31.2357,"Cairo, Egypt",Africa,548,4.91,3.52,1.86,3.45,10.9,29.6,Fair,2020-2023,Low
solar_point_16,-15.7801,-47.9292,"Brasília, Brazil",South America,130,5.53,4.04,1.64,4.51,10.3,27.5,Good,2020-2023,Medium
solar_point_17,64.1466,-21.9426,"Reykjavik, Iceland",Europe,1864,4.24,3.19,2.85,3.54,9.2,16.7,Good,2020-2023,Medium
